invoice_x10,sol_x10,quantity,product_x10
255774,398507,1.000,2359
255775,398492,1.000,2359
255776,398500,1.000,2511
255777,398502,1.000,2511
255777,398503,1.000,2511
255778,398501,1.000,2352
255779,398508,1.000,2352
255779,398509,1.000,2352
255780,398539,1.000,2352
255780,398540,1.000,2352
255780,398541,1.000,134
255781,398620,1.000,2352
255781,398621,1.000,2352
255782,398643,1.000,2359
255783,398522,1.000,308
255784,398523,1.000,308
255785,398524,1.000,2352
255785,398525,1.000,2356
255786,398662,24.000,660
255788,398542,1.000,2502
255789,398638,1.000,2495
255790,398625,1.000,2352
255791,398585,1.000,2449
255792,398593,1.000,2449
255793,398592,1.000,2449
255795,398653,1.000,308
255796,398649,1.000,308
255797,398678,1.000,2452
255798,398658,1.000,2446
255799,398583,1.000,2458
255799,398584,1.000,405
255800,398490,1.000,2359
255800,398491,1.000,2359
255801,398533,1.000,2356
255802,398545,1.000,2356
255802,398546,1.000,2356
255803,398597,1.000,2359
255803,398598,1.000,2359
255804,398568,1.000,2359
255804,398569,1.000,2359
255805,398560,1.000,2359
255806,398506,1.000,520
255809,398609,1.000,2424
255810,398652,1.000,2446
255811,398563,1.000,2359
255811,398564,1.000,2359
255812,398544,1.000,2359
255813,398536,1.000,2378
255814,398760,1.000,486
255815,398628,1.000,2359
255818,398565,1.000,2449
255820,398626,1.000,2360
255820,398627,1.000,2360
255822,398656,1.000,2446
255824,398493,1.000,2356
255825,398529,1.000,2387
255826,398566,1.000,2359
255826,398567,1.000,2359
255827,398591,1.000,2359
255828,398608,1.000,2387
255829,398488,1.000,2359
255829,398489,1.000,2359
255830,398554,1.000,2359
255830,398555,1.000,2359
255831,398596,1.000,2359
255832,398681,1.000,2352
255833,398576,1.000,2512
255834,398631,1.000,2512
255835,398687,1.000,2352
255835,398688,1.000,2352
255836,398604,1.000,2352
255837,398654,1.000,2352
255837,398655,1.000,2352
255838,398723,1.000,2352
255839,398551,1.000,2352
255839,398552,1.000,2352
255840,398743,1.000,2352
255841,398744,1.000,2352
255841,398745,1.000,2352
255842,398668,1.000,2352
255842,398669,1.000,2352
255843,398575,1.000,2352
255844,398706,1.000,2512
255845,398740,1.000,2353
255846,398695,1.000,2446
255847,398558,1.000,2359
255848,398602,1.000,2359
255848,398603,1.000,2359
255849,398691,1.000,2449
255850,398590,1.000,2359
255851,398571,1.000,2359
255851,398572,1.000,2359
255853,398715,1.000,2446
255854,398610,1.000,2359
255854,398611,1.000,2359
255855,398719,1.000,2467
255856,398679,1.000,2356
255856,398680,1.000,2356
255857,398630,1.000,2356
255858,398663,1.000,2371
255859,398751,1.000,2447
255860,398754,1.000,2446
255863,398763,1.000,2389
255863,398764,1.000,2387
255864,398765,1.000,2359
255864,398766,1.000,2359
255867,398775,20.000,660
255868,398548,1.000,2359
255869,398714,1.000,2978
255870,398537,1.000,2359
255871,398496,1.000,2359
255871,398497,1.000,2359
255872,398561,1.000,2359
255872,398562,1.000,2359
255873,398852,1.000,486
255874,398776,1.000,2356
255874,398777,1.000,2356
255875,398514,1.000,2359
255875,398515,1.000,2359
255876,398538,1.000,2359
255877,398504,1.000,2360
255877,398505,1.000,2360
255878,398532,1.000,2359
255879,398528,1.000,2359
255880,398773,1.000,2359
255880,398774,1.000,2359
255881,398559,1.000,2359
255882,398636,1.000,2424
255883,398516,1.000,2359
255883,398517,1.000,2359
255884,398767,1.000,2356
255884,398768,1.000,2352
255885,398738,1.000,2359
255885,398739,1.000,2359
255886,398527,1.000,308
255887,398623,1.000,2356
255888,398498,1.000,2978
255889,398805,1.000,2446
255890,398720,1.000,2449
255891,398820,1.000,2512
255892,398534,1.000,2359
255893,398782,1.000,2352
255894,398806,1.000,2352
255894,398807,1.000,2352
255895,398779,1.000,2352
255896,398727,1.000,2352
255896,398728,1.000,2352
255897,398793,1.000,2352
255897,398794,1.000,2359
255898,398791,1.000,2352
255898,398792,1.000,2352
255899,398816,1.000,2352
255899,398817,1.000,2352
255900,398786,1.000,2352
255900,398787,1.000,2352
255901,398891,10.000,660
255902,398892,1.000,3408
255903,398778,1.000,2357
255904,398761,1.000,2359
255904,398762,1.000,2359
255905,398530,1.000,2471
255906,398519,1.000,2359
255906,398520,1.000,2359
255907,398900,1.000,2569
255908,398667,1.000,2385
255909,398664,1.000,2385
255910,398549,1.000,2359
255910,398550,1.000,2359
255911,398521,1.000,2385
255911,398526,1.000,2359
255912,398702,1.000,2359
255912,398703,1.000,2359
255913,398909,1.000,2446
255915,398704,1.000,2359
255915,398705,1.000,2359
255916,398685,1.000,2356
255916,398686,1.000,2356
255917,398670,1.000,2359
255917,398671,1.000,2359
255918,398570,1.000,2424
255919,398660,1.000,2359
255919,398661,1.000,2359
255920,398622,1.000,2356
255921,398684,1.000,399
255922,398894,1.000,2457
255922,398895,1.000,405
255923,398645,1.000,2359
255923,398646,1.000,2359
255924,398677,1.000,2359
255925,398672,1.000,2359
255925,398673,1.000,2359
255926,398650,1.000,2359
255926,398651,1.000,2359
255927,398893,1.000,2446
255928,398594,1.000,2359
255928,398595,1.000,2359
255929,398730,1.000,2495
255931,398641,1.000,2356
255931,398642,1.000,2356
255932,398759,1.000,134
255933,398605,1.000,2359
255934,398698,1.000,2359
255934,398699,1.000,2359
255935,398674,1.000,2460
255935,398675,1.000,405
255935,398676,1.000,408
255936,398665,1.000,2359
255936,398666,1.000,2359
255937,398690,1.000,2471
255938,398756,1.000,2378
255939,398700,1.000,2458
255939,398701,1.000,405
255940,398599,1.000,2359
255940,398600,1.000,2359
255941,398512,1.000,2390
255941,398513,1.000,915
255942,398716,1.000,2395
255943,398859,1.000,2359
255943,398860,1.000,2359
255944,398639,1.000,2359
255944,398640,1.000,2359
255945,398615,1.000,2359
255946,398612,1.000,2359
255946,398613,1.000,2359
255947,398629,1.000,2359
255948,398601,1.000,2359
255949,398624,1.000,2359
255950,398941,1.000,2446
255951,398659,1.000,2359
255952,398857,1.000,2359
255952,398858,1.000,2359
255953,398749,1.000,2359
255953,398750,1.000,2359
255954,398614,1.000,2359
255955,398769,1.000,2359
255955,398770,1.000,2359
255956,398733,1.000,2368
255957,398731,1.000,2360
255958,398855,1.000,2359
255958,398856,1.000,2359
255959,398732,1.000,2359
255960,398933,1.000,2352
255960,398934,1.000,2352
255961,398910,1.000,2352
255961,398911,1.000,2352
255962,398906,1.000,2352
255962,398907,1.000,2352
255963,398883,1.000,2352
255963,398884,1.000,2352
255964,398979,1.000,2512
255965,398935,1.000,2352
255965,398936,1.000,2352
255966,398682,1.000,2359
255966,398683,1.000,2359
255968,398752,1.000,2524
255969,398648,1.000,2390
255970,398553,1.000,2363
255971,398606,1.000,2359
255971,398607,1.000,2359
255972,399061,1.000,491
255973,398840,1.000,2359
255974,398803,1.000,2359
255975,398844,1.000,2359
255975,398845,1.000,2359
255976,398800,1.000,2359
255977,398835,1.000,2356
255977,398836,1.000,2356
255978,398797,1.000,2359
255978,398798,1.000,2359
255979,398818,1.000,2356
255979,398819,1.000,2356
255980,398853,1.000,2359
255980,398854,1.000,2359
255981,398850,1.000,2356
255981,398851,1.000,2356
255982,398827,1.000,2359
255982,398828,1.000,2359
255983,398825,1.000,2359
255984,398831,1.000,2356
255984,398832,1.000,2356
255985,398799,1.000,2424
255986,398785,1.000,2359
255987,398872,1.000,2359
255988,398838,1.000,2352
255988,398839,1.000,2352
255989,398846,1.000,2352
255989,398847,1.000,2352
255990,398871,1.000,2352
255991,399062,1.000,2352
255991,399063,1.000,2352
255992,398804,1.000,2446
255993,398826,1.000,2359
255994,398869,1.000,2359
255995,398821,1.000,2359
255996,398849,1.000,2356
255997,398734,1.000,2385
255998,398795,1.000,2449
255999,398809,1.000,2449
256000,398788,1.000,2359
256001,398780,1.000,2359
256001,398781,1.000,2359
256002,398810,1.000,2458
256002,398811,1.000,405
256003,399152,26.000,660
256004,398841,1.000,2359
256005,398815,1.000,2359
256006,399153,1.000,3408
256007,399042,1.000,2359
256008,399154,40.000,2951
256009,398833,1.000,2359
256009,398834,1.000,2359
256010,398801,1.000,2356
256010,398802,1.000,2356
256011,398842,1.000,2359
256011,398843,1.000,2359
256012,399015,1.000,2359
256013,399068,1.000,2352
256013,399069,1.000,2352
256014,398868,1.000,2512
256015,398494,1.000,2390
256015,398495,1.000,915
256016,398813,1.000,2359
256017,398724,1.000,2488
256018,398865,1.000,2390
256019,398875,1.000,2371
256020,398862,1.000,2390
256021,398812,1.000,2359
256022,398789,1.000,2359
256022,398790,1.000,2359
256023,398974,1.000,308
256024,398837,1.000,2359
256025,398829,1.000,2359
256025,398830,1.000,2359
256026,399052,1.000,2365
256027,398876,1.000,2359
256027,398877,1.000,2359
256028,398878,1.000,2359
256028,398879,1.000,2359
256029,399071,1.000,2359
256029,399072,1.000,2359
256030,399027,1.000,2442
256030,399028,1.000,3120
256031,398814,1.000,2377
256032,399050,1.000,2457
256032,399051,1.000,405
256033,399116,1.000,2467
256034,398977,1.000,308
256035,398874,1.000,2424
256036,398969,1.000,2356
256036,398970,1.000,2356
256037,398746,1.000,2442
256037,398747,1.000,3120
256038,398916,1.000,2359
256038,398917,1.000,2359
256039,398905,1.000,2488
256040,398644,1.000,2363
256041,398952,1.000,2378
256042,398921,1.000,2359
256042,398922,1.000,2359
256043,399008,1.000,2446
256044,398924,1.000,2449
256045,398556,1.000,2363
256045,398557,1.000,2359
256046,398944,1.000,2446
256047,398901,1.000,2424
256048,399011,1.000,2359
256048,399012,1.000,2359
256049,399004,1.000,2424
256050,398588,1.000,2359
256050,398589,1.000,2359
256051,398965,1.000,2359
256051,398966,1.000,2359
256052,399108,1.000,2359
256052,399109,1.000,2359
256053,398978,1.000,2363
256054,398923,1.000,2356
256055,398960,1.000,2356
256056,398866,1.000,3739
256056,398867,1.000,405
256057,398696,1.000,2416
256058,398988,1.000,2356
256058,398989,1.000,2356
256059,398721,1.000,2457
256059,398722,1.000,405
256060,398982,1.000,2359
256061,399014,1.000,2359
256062,399054,1.000,2449
256063,398945,1.000,2359
256063,398946,1.000,2359
256064,398896,1.000,399
256065,398863,1.000,2457
256065,398864,1.000,405
256066,398959,1.000,2467
256067,399121,1.000,308
256068,398976,1.000,2359
256069,398918,1.000,2356
256070,398657,1.000,2359
256071,398993,1.000,2359
256071,398994,1.000,2359
256072,399201,1.000,2512
256073,399135,1.000,2352
256073,399136,1.000,2352
256074,399138,1.000,2352
256074,399139,1.000,2352
256075,399194,1.000,2352
256075,399195,1.000,2352
256076,399141,1.000,2352
256076,399142,1.000,2352
256077,399137,1.000,2352
256078,398931,1.000,2359
256078,398932,1.000,2359
256079,398986,1.000,2359
256079,398987,1.000,2359
256080,399020,1.000,2446
256082,398635,1.000,2359
256083,398914,1.000,2359
256083,398915,1.000,2359
256084,399134,1.000,2359
256085,398898,1.000,2359
256085,398899,1.000,2359
256086,398983,1.000,2359
256086,398984,1.000,2359
256087,399046,1.000,399
256088,399010,1.000,2449
256089,399009,1.000,2449
256090,399104,1.000,2359
256090,399105,1.000,2359
256091,398971,1.000,308
256092,398956,1.000,2471
256093,399039,1.000,2359
256094,398947,1.000,2460
256094,398948,1.000,405
256094,398949,1.000,408
256095,398962,1.000,308
256096,398939,1.000,2359
256096,398940,1.000,2359
256097,398689,1.000,2359
256098,398973,1.000,2359
256099,398713,1.000,2389
256100,399058,1.000,2457
256100,399059,1.000,405
256101,399003,1.000,2359
256102,399024,1.000,2457
256102,399025,1.000,405
256103,398925,1.000,2490
256104,399133,1.000,2359
256105,399112,1.000,2359
256106,398880,1.000,2356
256108,398957,1.000,2394
256109,398995,1.000,2359
256109,398996,1.000,2359
256110,398980,1.000,2359
256110,398981,1.000,2359
256111,398897,1.000,2356
256112,398735,1.000,3455
256113,399055,1.000,2458
256113,399056,1.000,405
256113,399057,1.000,491
256114,399247,1.000,2416
256115,399248,1.000,2449
256116,398937,1.000,2368
256116,398938,1.000,748
256117,399259,1.000,2359
256117,399260,1.000,2359
256118,399253,1.000,2360
256118,399254,1.000,2360
256119,399086,1.000,2359
256119,399087,1.000,2359
256120,399082,1.000,2359
256120,399083,1.000,2359
256121,399067,1.000,2359
256122,399264,1.000,2359
256123,398961,1.000,3811
256124,399079,1.000,2359
256124,399080,1.000,2359
256125,399113,1.000,308
256126,399097,1.000,2359
256126,399098,1.000,2359
256127,399111,1.000,2446
256128,398873,1.000,2428
256129,398808,1.000,2428
256130,399066,1.000,2359
256131,399091,1.000,2449
256132,398796,1.000,2424
256133,398771,1.000,2359
256133,398772,1.000,2360
256134,399155,1.000,2449
256135,399006,1.000,2356
256135,399007,1.000,2356
256136,399144,1.000,2359
256136,399145,1.000,2359
256137,399017,1.000,2358
256137,399018,1.000,2356
256138,399101,1.000,2359
256138,399102,1.000,2359
256139,399092,1.000,2359
256140,399156,1.000,2359
256141,399099,1.000,2424
256142,399250,1.000,2446
256143,399064,1.000,2446
256144,399219,1.000,2352
256144,399220,1.000,2352
256145,399262,1.000,2512
256146,399236,1.000,2352
256147,399258,1.000,2352
256148,399107,1.000,2352
256149,399114,1.000,2352
256149,399115,1.000,2352
256150,399110,1.000,2359
256151,399311,1.000,2352
256151,399312,1.000,2352
256152,399232,1.000,2352
256152,399233,1.000,2352
256153,399093,1.000,2512
256154,399267,1.000,2352
256155,398848,1.000,2424
256156,399073,1.000,2359
256157,399256,1.000,2359
256158,399047,1.000,399
256158,399048,1.000,2863
256158,399049,1.000,2387
256159,399317,1.000,2352
256159,399318,1.000,2352
256160,399045,1.000,2356
256161,399147,1.000,2463
256161,399148,1.000,405
256161,399149,1.000,408
256162,399265,1.000,2352
256163,399255,1.000,2352
256164,399251,1.000,2352
256164,399252,1.000,2352
256165,399037,1.000,2356
256165,399038,1.000,2356
256166,398881,1.000,2359
256166,398882,1.000,2359
256167,399090,1.000,2371
256168,399033,1.000,2356
256168,399034,1.000,2356
256169,399031,1.000,2359
256169,399032,1.000,2359
256170,398912,1.000,2359
256170,398913,1.000,2359
256171,399160,1.000,2359
256171,399161,1.000,2359
256172,399208,1.000,2359
256173,399005,1.000,2359
256174,398990,1.000,399
256174,398991,1.000,2862
256207,398950,1.000,2385
256207,398951,1.000,2359
256208,399171,1.000,2490
256209,399170,1.000,2446
256210,399212,1.000,2446
256211,399167,1.000,2490
256212,399029,1.000,2356
256212,399030,1.000,2356
256213,399162,1.000,2359
256213,399163,1.000,2359
256214,399199,1.000,2359
256214,399200,1.000,2359
256215,399002,1.000,399
256216,399026,1.000,2428
256217,399196,1.000,2359
256217,399197,1.000,2359
256218,399178,1.000,2424
256219,398887,1.000,2359
256219,398888,1.000,2359
256220,398964,1.000,2450
256221,398997,1.000,2356
256221,398998,1.000,2356
256222,399244,1.000,2359
256222,399245,1.000,2359
256223,398985,1.000,2359
256224,398928,1.000,2359
256224,398929,1.000,2359
256225,399074,1.000,2360
256225,399075,1.000,2360
256226,398992,1.000,2359
256227,399159,1.000,2481
256228,399211,1.000,2467
256229,399189,1.000,308
256230,399124,1.000,2359
256230,399125,1.000,2359
256231,399188,1.000,308
256232,399013,1.000,2509
256233,398999,1.000,2359
256233,399000,1.000,2359
256234,398885,1.000,2359
256234,398886,1.000,2359
256235,398963,1.000,2447
256236,399241,1.000,2457
256236,399242,1.000,405
256237,398729,1.000,535
256238,399331,1.000,2475
256239,398889,1.000,2359
256239,398890,1.000,2359
256240,399363,1.000,2446
256241,398919,1.000,2359
256242,398942,1.000,399
