partner_x10,team_x10,team_name,user_x10
79,7,TCR,
80,27,CLT 1,
82,54,CLT 2,
84,5,CLT 2,
85,5,CLT 2,
89,5,CLT 2,
90,,,15
94,5,CLT 2,
95,5,CLT 2,
96,5,CLT 2,
97,27,CLT 1,
98,5,CLT 2,
100,6,KTM,
102,5,CLT 2,
103,19,EPT,
105,22,GNRL,
106,10,MLPM,
109,5,CLT 2,
110,,,11
111,5,CLT 2,
112,5,CLT 2,
113,5,CLT 2,
115,10,MLPM,
116,11,PLKD,
121,11,PLKD,
122,13,KLM,
124,13,KLM,
128,7,TCR,
130,27,CLT 1,20
231,10,MLPM,
240,10,MLPM,
243,5,CLT 2,
249,5,CLT 2,
256,6,KTM,14
260,13,KLM,
263,,,18
266,2,EKM2,
269,,,14
273,6,KTM,
277,,,15
281,,,18
282,19,EPT,
286,19,EPT,8
287,2,EKM2,
290,3,PK,11
292,,,10
293,1,EKM1,10
297,2,EKM2,9
299,11,PLKD,19
304,,,9
305,9,ALPY,17
309,12,TVM,20
310,12,TVM,20
311,33,MVPA,25
312,30,PMA,12
313,30,PMA,12
314,30,PMA,12
317,4,KYLM,12
318,19,EPT,12
319,19,EPT,8
324,30,PMA,14
327,11,PLKD,19
328,7,TCR,19
330,7,TCR,9
331,2,EKM2,9
332,19,EPT,8
333,1,EKM1,10
334,1,EKM1,10
335,3,PK,11
338,1,EKM1,12
340,11,PLKD,10
341,3,PK,11
342,33,MVPA,8
343,12,TVM,20
344,22,GNRL,20
345,,,17
346,19,EPT,17
348,6,KTM,16
349,,,16
350,22,GNRL,10
355,19,EPT,8
356,19,EPT,8
357,19,EPT,8
359,19,EPT,11
360,3,PK,8
361,7,TCR,16
362,13,KLM,11
363,7,TCR,15
364,7,TCR,15
367,7,TCR,15
368,7,TCR,15
369,13,KLM,21
371,13,KLM,21
372,,,21
373,13,KLM,21
374,13,KLM,
376,13,KLM,21
378,7,TCR,15
379,7,TCR,
380,12,TVM,20
381,13,KLM,20
383,13,KLM,21
384,5,CLT 2,15
385,13,KLM,21
388,19,EPT,11
390,6,KTM,11
392,33,MVPA,25
396,7,TCR,15
397,7,TCR,15
400,14,CMBR 1,11
401,6,KTM,14
403,13,KLM,21
404,13,KLM,21
405,5,CLT 2,
407,27,CLT 1,
408,27,CLT 1,
409,6,KTM,14
411,3,PK,11
412,3,PK,11
413,3,PK,11
414,8,TCR 2,15
419,7,TCR,15
420,3,PK,11
421,3,PK,11
422,6,KTM,14
423,,,14
424,9,ALPY,17
425,9,ALPY,17
426,9,ALPY,17
427,11,PLKD,19
428,11,PLKD,19
429,11,PLKD,19
430,6,KTM,14
431,6,KTM,14
432,6,KTM,14
433,14,CMBR 1,11
434,1,EKM1,10
435,2,EKM2,9
436,2,EKM2,9
438,11,PLKD,19
441,4,KYLM,12
443,12,TVM,20
444,33,MVPA,25
446,6,KTM,14
447,27,CLT 1,
448,27,CLT 1,
449,3,PK,11
450,3,PK,11
451,3,PK,11
453,3,PK,11
454,3,PK,11
455,,,11
456,14,CMBR 1,11
457,22,GNRL,18
460,7,TCR,15
461,7,TCR,15
462,7,TCR,15
463,14,CMBR 1,11
464,1,EKM1,10
466,1,EKM1,10
467,1,EKM1,10
468,2,EKM2,9
469,9,ALPY,10
470,,,10
471,2,EKM2,10
472,6,KTM,8
473,12,TVM,20
474,27,CLT 1,
477,10,MLPM,18
478,3,PK,11
481,6,KTM,14
